Date,Sales,Expenses,Other Income,Depreciation,Interest,Profit before tax,Tax,Net profit,Operating Profit,EBITDA,EBIT,Comp_Name
2023-06-30,2005.48,1509.53,105.06,45.29,24.69,531.03,140.55,390.48,495.95,601.01,555.72,Godrej Consumer
2023-06-30,2347.38,1885.02,99.09,51.35,15.35,494.75,117.08,377.67,462.36,561.45,510.1,Dabur India
2023-06-30,852.53,637.64,10.1,15.41,3.0,206.58,55.34,151.24,214.89,224.99,209.58,P & G Hygiene
2023-06-30,1323.67,905.55,-4.53,43.76,1.07,368.76,95.08,273.68,418.12,413.59,369.83,Colgate-Palmoliv
2023-06-30,2273.18,2050.4,10.32,51.32,1.66,180.12,44.04,136.08,222.78,233.1,181.78,United Breweries
2023-06-30,697.88,524.39,7.81,41.42,0.45,139.43,10.41,129.02,173.49,181.3,139.88,Emami
2023-06-30,1841.0,1438.0,37.0,25.0,7.0,408.0,101.0,307.0,403.0,440.0,415.0,Marico
2023-06-30,953.92,834.41,1.12,24.34,12.27,84.02,20.78,63.25,119.51,120.63,96.28999999999999,Radico Khaitan
2023-06-30,3870.63,3204.0,52.16,63.35,48.39,607.05,164.0,443.05,666.63,718.79,655.4399999999999,Britannia Inds
2023-06-30,2316.08,1959.59,64.96,38.81,8.38,374.26,88.81,285.45,356.49,421.45,382.64,Tata Consumer
2023-06-30,4658.53,3603.01,23.95,107.36,32.78,939.33,240.99,698.34,1055.52,1079.47,972.11,Nestle India
2023-09-30,5036.82,3811.95,139.69,111.16,31.38,1222.02,313.94,908.08,1224.87,1364.5600000000002,1253.4,Nestle India
2023-09-30,1791.0,1449.0,35.0,26.0,10.0,341.0,83.0,258.0,342.0,377.0,351.0,Marico
2023-09-30,2892.38,2185.14,31.04,127.98,55.69,554.61,139.0,415.61,707.24,738.28,610.3,Varun Beverages
2023-09-30,1471.09,988.96,21.01,44.28,1.05,457.81,117.76,340.05,482.13,503.14,458.86,Colgate-Palmoliv
2023-09-30,2168.22,1610.84,156.34,32.49,36.18,645.05,160.18,484.87,557.38,713.7199999999999,681.2299999999999,Godrej Consumer
2023-09-30,2334.4,1825.78,102.49,51.15,18.42,541.54,121.27,420.27,508.62,611.1099999999999,559.9599999999999,Dabur India
2023-09-30,1138.35,853.46,15.77,14.3,1.89,284.47,73.78,210.69,284.89,300.66,286.36,P & G Hygiene
2023-09-30,2864.7,2394.6,69.5,65.3,26.2,448.1,106.8,341.3,470.1,539.6,474.3,United Spirits
2023-09-30,15276.0,11582.0,278.0,269.0,72.0,3631.0,914.0,2717.0,3694.0,3972.0,3703.0,Hind. Unilever
2023-09-30,1888.02,1703.43,12.23,50.84,1.43,144.55,36.93,107.62,184.59,196.82000000000002,145.98000000000002,United Breweries
2023-09-30,701.2,493.79,9.93,41.4,0.4,175.54,11.96,163.58,207.41,217.34,175.94,Emami
2023-09-30,925.0,803.79,0.69,26.12,12.47,83.31,21.43,61.88,121.21,121.9,95.78,Radico Khaitan
2023-09-30,2359.59,1986.46,37.73,41.4,8.19,361.27,93.48,267.79,373.13,410.85999999999996,369.46,Tata Consumer
2023-09-30,16550.07,10508.45,895.61,413.22,10.51,6513.5,1586.54,4926.96,6041.62,6937.2300000000005,6524.01,ITC
2023-09-30,4288.85,3447.91,53.18,64.43,47.95,781.74,211.25,570.49,840.94,894.1200000000001,829.69,Britannia Inds
